Style#,9 Digit Style #,Style Description,Color Description,First Cost,ELLC,Ticketed Retail,Ticketed GM%,Target GM%,Image url
772336,772336011,CLASSIC STRAIGHT KHAKI,CARMEL,$9.84 ,$12.21 ,$49.50 ,75.33%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772336,772336001,CLASSIC STRAIGHT KHAKI,CHINO,$9.84 ,$12.21 ,$49.50 ,75.33%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772336,772336031,CLASSIC STRAIGHT KHAKI,CHINO GREY 92027,$9.84 ,$12.21 ,$49.50 ,75.33%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772336,772336051,CLASSIC STRAIGHT KHAKI,LINEN,$9.84 ,$12.21 ,$49.50 ,75.33%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
,,,,,,,,,
772337,772337011,CLASSIC RELAXED KHAKI,CARMEL,$10.15 ,$12.58 ,$49.50 ,74.59%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772337,772337001,CLASSIC RELAXED KHAKI,CHINO,$10.15 ,$12.58 ,$49.50 ,74.59%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772337,772337031,CLASSIC RELAXED KHAKI,CHINO GREY 92027,$10.15 ,$12.58 ,$49.50 ,74.59%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
,,,,,,,,,
772339,772339001,TAILORED STRAIGHT KHAKI,CHINO,$10.90 ,$13.57 ,$49.50 ,72.59%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772339,772339011,TAILORED STRAIGHT KHAKI,CHINO BLACK,$10.96 ,$13.64 ,$49.50 ,72.44%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772339,772339031,TAILORED STRAIGHT KHAKI,LIGHT ASPHALT,$10.96 ,$13.64 ,$49.50 ,72.44%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
,,,,,,,,,
772340,772340001,TAILORED RELAXED KHAKI,CHINO,$11.17 ,$13.90 ,$49.50 ,71.92%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772340,772340011,TAILORED RELAXED KHAKI,CHINO BLACK,$11.11 ,$13.83 ,$49.50 ,72.06%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
,,,,,,,,,
772342,772342001,VINTAGE KHAKI,CHINO ACORN,$10.39 ,$12.89 ,$49.50 ,73.96%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
772342,772342021,VINTAGE KHAKI,CHINO STONE,$10.39 ,$12.89 ,$49.50 ,73.96%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
,,,,,,,,,
772345,772345001,TAILORED STRAIGHT MELANGE,GREY HEATHER,$10.90 ,$13.57 ,$59.50 ,77.19%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
,,,,,,,,,
776470,776470001,TAILORED RELAXED MELANGE,GREY HEATHER,$11.08 ,$13.80 ,$59.50 ,76.81%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
,,,,,,,,,
814557,814557001,TS NAVY STRIPE (TAILORED STRAIGHT),NAVY STRIPE,$10.63 ,$13.23 ,$59.50 ,77.76%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
814558,814558001,TS GREY DOT STRIPE (TAILORED STRAIGHT),GREY,$9.82 ,$12.23 ,$59.50 ,79.45%,60%,http://ufeast.com/gapapp/from_gap/ANDRES_74_US.png
